child_id,parent_id,match,date_binary,jac_total,title_similarity,content_similarity,sleutelwoorden_lenmatches,BT_TT_lenmatches,title_no_stop_lenmatches,1st_paragraph_no_stop_lenmatches,numbers_lenmatches
657793,826137,1,0.0,0.3112,0.6841,0.8493,0,0,0,4,6
657823,718074,1,0.0,0.5065,0.4958,0.8584,0,1,0,4,8
657758,690419,1,0.0,0.5098,0.2305,0.5879,0,1,1,0,9
658056,709691,1,0.0,0.1157,0.4154,0.7112,0,0,0,2,1
657815,791809,1,0.0,0.6865,0.1184,0.8802,0,1,2,3,6
658104,667320,1,0.0,0.56,0.1319,0.8307,1,1,0,4,4
657801,744485,1,0.0,0.5531,0.0765,0.8125,0,0,2,4,1
657813,904536,1,0.0,0.2207,0.1942,0.8778,0,0,1,2,0
658358,667321,1,0.0,0.2167,0.3688,0.8714,0,0,0,4,1
658933,677893,1,0.0,0.5486,0.6101,0.8484,0,0,1,3,8
659140,737958,1,0.0,0.4792,0.7716,0.8076,0,0,1,3,3
658783,831436,1,0.0,0.5408,0.4838,0.8644,0,0,1,6,3
666842,683597,1,0.0,0.3435,0.4329,0.8174,0,1,0,5,2
660593,825714,1,0.0,0.33,0.3322,0.8484,0,0,0,8,12
659404,816791,1,0.0,0.561,0.3461,0.8614,0,1,0,7,1
667378,687851,1,0.0,0.1871,0.608,0.7559,0,0,0,4,3
667384,707974,1,0.0,0.5119,0.7988,0.8512,0,0,0,11,5
667413,750277,1,0.0,0.355,0.5123,0.8014,0,1,0,1,2
667420,872531,1,0.0,0.3333,0.5194,0.7861,0,0,0,1,5
667406,835549,1,0.0,0.3185,0.4372,0.8322,0,0,0,4,5
667426,828254,1,0.0,0.6084,0.4435,0.8637,0,0,1,12,4
667435,850711,1,0.0,0.48,0.2558,0.787,0,2,0,3,2
667433,701845,1,0.0,0.1914,0.275,0.8605,0,0,0,3,1
667385,820688,1,0.0,0.6102,0.1531,0.9135,2,0,1,2,4
667386,673750,1,0.0,0.9155,0.3342,0.9085,2,1,1,6,8
667381,905612,1,0.0,0.5632,0.1908,0.8573,0,0,1,7,5
667428,776748,1,0.0,0.5983,0.4212,0.9183,0,1,1,8,6
667410,913309,1,0.0,0.5916,0.3872,0.8906,0,0,2,4,1
667403,766182,1,0.0,0.2217,0.2037,0.7918,0,0,0,1,4
667392,919961,1,0.0,0.5504,0.4975,0.9298,1,1,1,5,1
667391,879349,1,0.0,1.0155,0.6225,0.8934,0,2,1,19,4
667390,832410,1,0.0,0.703,0.4938,0.9182,0,0,1,8,6
667441,779758,1,0.0,0.6579,0.2221,0.7285,0,1,2,5,1
667429,821207,1,0.0,0.8278,0.7884,0.9348,1,0,2,10,3
